,id,长度,句数,被动,总词数,连副词
2273,57667289.txt,7247,99,4,3874,158
2274,1206057825.txt,4792,53,0,2521,102
2275,1209487096.txt,21505,300,2,11577,386
2276,1205933730.txt,51301,555,11,26315,1143
2277,1207662567.txt,16026,204,4,8530,367
2278,1202232056.txt,49948,384,4,23681,737
2279,1213121793.txt,21604,171,6,8682,281
2280,60932279.txt,7340,90,2,3496,156
2281,1207470890.txt,0,0,0,0,0
2282,1203159402.txt,5218,64,0,2810,115
2283,63936504.txt,6961,93,0,3728,137
2284,1207690429.txt,9619,89,0,4564,203
2285,1205963591.txt,8542,74,0,4154,203
2286,1200788689.txt,8541,102,0,4630,185
2287,1207428443.txt,22994,207,2,10694,331
2288,59290051.txt,13479,172,2,7350,330
2289,1209789877.txt,15899,132,1,7218,285
2290,1200764387.txt,34603,326,8,17335,627
2291,1209879732.txt,27346,271,4,13248,382
2292,63888322.txt,19607,161,0,7807,254
2293,1202265495.txt,14371,151,6,6844,267
2294,1202122439.txt,9609,104,3,4955,197
2295,1205964219.txt,15713,125,2,7253,322
2296,63665365.txt,3875,54,2,2036,92
2297,1200769731.txt,37901,404,7,18267,633
2298,1204831742.txt,7304,78,4,3641,118
2299,1202104003.txt,66245,528,11,33159,737
2300,63913805.txt,11896,148,1,6418,226
2301,1200040538.txt,3237,39,0,1707,69
2302,60640128.txt,5416,76,4,2983,135
2303,1202251589.txt,4912,66,1,2523,80
2304,57856657.txt,6382,68,1,3480,171
2305,63754016.txt,5768,0,0,2645,0
2306,1205959052.txt,9482,71,0,4161,148
2307,1206073546.txt,14439,191,1,7494,270
2308,1200796370.txt,34745,405,3,17933,694
2309,1213217322.txt,9337,92,0,4113,136
2310,63904289.txt,8271,95,4,4150,193
2311,63723749.txt,8092,109,0,4299,173
2312,1207691462.txt,19000,192,2,9386,347
2313,1205967803.txt,11070,121,4,5734,192
2314,1206008842.txt,7077,82,17,3702,156
2315,1207601922.txt,47435,487,7,24228,786
2316,1202165109.txt,10126,110,10,5128,172
2317,60818055.txt,9787,90,1,4111,144
2318,1204548036.txt,0,0,0,0,0
2319,63742522.txt,12822,142,4,6346,274
2320,1212624887.txt,20832,189,1,10194,298
2321,1200676486.txt,15011,114,0,5966,227
2322,1212644482.txt,40081,410,6,20374,611
2323,1207325890.txt,5502,61,0,2878,115
2324,51154155.txt,4065,50,1,1860,76
2325,1212886664.txt,24202,281,3,12881,383
2326,1212729855.txt,61298,573,16,31285,1026
2327,62204807.txt,4901,59,0,2584,138
2328,1213024603.txt,10894,91,3,5792,233
2329,1207534262.txt,30306,383,5,14435,508
2330,1204805423.txt,24685,221,5,10146,357
2331,1200694352.txt,7602,70,0,3505,125
2332,57849164.txt,6300,68,0,3020,134
2333,1213058990.txt,30563,262,5,14368,485
2334,1204575213.txt,5530,55,1,2928,103
2335,63928686.txt,30402,313,11,14600,508
2336,1202010625.txt,9743,108,1,4930,176
2337,1212939294.txt,8453,84,4,3969,160
2338,1212634424.txt,61971,528,5,31645,954
2339,1203181665.txt,26327,279,7,13292,477
2340,60719029.txt,26003,336,25,12506,388
2341,57836676.txt,44100,486,36,22018,631
2342,1206094524.txt,0,0,0,0,0
2343,63737835.txt,14222,173,0,6912,204
2344,63720135.txt,17225,163,3,7609,275
2345,1213025861.txt,5297,57,0,2832,138
2346,60740424.txt,13852,120,1,6420,281
2347,1202237380.txt,10006,29,1,2552,97
2348,1213224935.txt,29613,343,3,15520,397
2349,1202068334.txt,21202,205,7,10525,356
2350,59337955.txt,5848,61,0,2923,166
2351,1202225792.txt,10068,125,1,4994,232
2352,1212920735.txt,8285,82,4,4282,181
2353,1212743989.txt,89231,158,1,21537,851
2354,1209438785.txt,17230,181,3,6982,264
2355,1210511400.txt,0,0,0,0,0
2356,1200807344.txt,5432,66,0,2915,112
2357,1203316077.txt,24359,221,4,11389,356
2358,60932316.txt,7632,109,3,4101,168
2359,1203247292.txt,6233,60,0,2767,112
2360,1200258561.txt,41955,422,10,20441,662
2361,1204645830.txt,0,0,0,0,0
2362,1203424289.txt,10315,101,3,5575,245
2363,62272660.txt,17503,205,4,9229,383
2364,1212726472.txt,10036,105,2,5006,173
2365,1204557803.txt,65733,822,19,35386,1282
2366,1202259214.txt,18368,179,2,7712,232
2367,1209677111.txt,4747,40,3,2525,100
2368,50370225.txt,10030,132,0,5371,209
2369,1203212775.txt,10398,102,0,5044,277
2370,1202194579.txt,22032,251,2,11050,439
2371,1202239170.txt,0,0,0,0,0
2372,1212839232.txt,45656,395,6,22265,727
2373,57876085.txt,6798,84,3,3585,161
2374,1209675595.txt,20317,197,7,9638,308
2375,60849519.txt,4138,47,0,2104,108
2376,1207668945.txt,28592,249,3,13918,404
2377,60684060.txt,6036,83,0,3148,123
2378,60841345.txt,3901,48,0,2065,99
2379,1206165947.txt,36172,290,2,17086,569
2380,1209827149.txt,10850,96,0,4812,177
2381,1200805924.txt,10303,105,1,5602,233
2382,1212710924.txt,45933,431,17,22114,602
2383,62303453.txt,12515,122,5,6640,225
2384,1203417822.txt,0,0,0,0,0
2385,1212510272.txt,5212,51,2,2542,106
2386,59154065.txt,4602,55,0,2442,101
2387,1203417535.txt,0,0,0,0,0
